Country/Region,Region,Birth Rate,Business Tax Rate,CO2 Emissions,CO2 Emissions per Capita,Days to Start Business,Energy Usage,GDP,GDP per Capita,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Total Health Expenditures,Tourism Inbound,Tourism Outbound
Monaco,Europe,,,,,,,"5,350,993,377","145,229.84",0.044,"6,431",,0.003,0.75,,,,0.635,"235,443,708.59",,
Togo,Africa,0.037,0.503,"1,540",0.000244211,84,"2,692","3,172,945,506",503.161823935,0.075,37,270,0.061,0.03,,56,55,0.413,"237,970,912.95","105,000,000","89,000,000"
Suriname,The Americas,0.018,0.279,"2,384",0.004541298,694,,"4,368,033,802","8,320.70",0.058,483,199,0.022,0.316,0.116,74,67,0.993,"253,345,960.52","69,000,000","41,000,000"
Congo (Brazzaville),Africa,0.039,0.663,"2,028",0.000493225,161,"1,511","12,007,880,067","2,920.41",0.023,67,606,0.042,0.05,,59,56,0.904,"276,181,241.54",,
Benin,Africa,0.038,0.659,"5,189",0.000545648,31,"3,653","6,558,416,322",689.648331332,0.043,30,270,0.062,0.031,,60,57,0.744,"282,011,901.85","149,000,000","91,000,000"
Guinea,Africa,0.038,0.879,"1,236",0.000113644,40,,"4,735,956,476",435.448888027,0.062,27,416,0.071,0.01,,56,55,0.368,"293,629,301.51","2,000,000","17,000,000"
Montenegro,Europe,0.012,0.254,"2,582",0.004163992,10,"1,174","4,114,881,347","6,636.07",0.072,476,372,0.006,0.375,0.095,77,72,1.887,"296,271,456.98","765,000,000","72,000,000"
Barbados,The Americas,0.013,,"1,503",0.005360276,,,"4,433,700,000","15,812.28",0.067,978,,0.014,0.681,0.087,77,72,1.248,"297,057,900","1,074,000,000","351,000,000"
Kyrgyzstan,Asia,0.027,0.306,"6,399",0.001174581,10,"2,805","4,794,357,795",880.037775106,0.067,60,202,0.027,0.184,0.315,74,65,0.989,"321,221,972.27","336,000,000","398,000,000"
Swaziland,Africa,0.031,0.365,"1,023",0.000857396,56,,"3,891,563,478","3,261.59",0.084,261,104,0.063,0.11,0.098,48,49,0.608,"326,891,332.15","51,000,000","87,000,000"
Brunei,Asia,0.017,0.173,"9,160",0.022867471,105,"3,240","12,369,708,859","30,880.34",0.027,844,144,0.008,0.53,0.055,80,76,1.086,"333,982,139.19",,
Tajikistan,Asia,0.033,0.84,"2,860",0.000374968,27,"2,370","5,642,178,580",739.732191859,0.06,44,224,0.045,0.116,0.242,70,64,0.779,"338,530,714.80","32,400,000","17,800,000"
South Sudan,Africa,0.037,,,,,,"16,338,510,934","1,643.56",0.021,32,,0.071,,,54,52,,"343,108,729.61",,
Papua New Guinea,Oceania,0.03,0.421,"3,135",0.000457067,51,,"9,480,047,959","1,382.14",0.041,57,194,0.051,0.013,0.104,64,60,0.278,"388,681,966.32","2,500,000","138,000,000"
Mongolia,Asia,0.023,0.243,"11,511",0.004243314,13,"3,454","6,200,357,070","2,285.65",0.063,143,192,0.029,0.102,0.201,71,63,0.925,"390,622,495.41","288,000,000","319,000,000"
Madagascar,Africa,0.035,0.377,"2,013",9.55E-05,7,,"8,704,983,553",412.95905208,0.045,19,201,0.044,0.017,0.49,65,62,0.366,"391,724,259.89","633,000,000","110,000,000"
Niger,Africa,0.05,0.465,"1,412",8.88E-05,17,,"5,718,589,550",359.801241948,0.069,24,270,0.066,0.008,,57,57,0.231,"394,582,678.95","86,000,000",
Sierra Leone,Africa,0.038,2.352,689,0.000119785,12,,"2,578,159,463",448.221526481,0.154,69,357,0.114,0.006,0.213,45,45,0.348,"397,036,557.30","26,000,000","22,000,000"
