Country/Region,Region,Birth Rate,Business Tax Rate,CO2 Emissions,CO2 Emissions per Capita,Days to Start Business,Energy Usage,GDP,GDP per Capita,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Total Health Expenditures,Tourism Inbound,Tourism Outbound
Malaysia,Asia,0.018,0.337,"216,804",0.007667466,17,"72,645","248,000,000,000","8,770.74",0.04,345,145,0.007,0.563,0.05,77,72,1.197,"9,920,000,000","18,152,000,000","8,324,000,000"
Hungary,Europe,0.009,0.546,"50,583",0.005058288,4,"25,667","128,000,000,000","12,799.97",0.08,"1,026",277,0.006,0.65,0.076,78,71,1.199,"10,240,000,000","6,338,000,000","2,879,000,000"
Egypt,Africa,0.024,0.426,"204,776",0.002622788,8,"73,575","219,000,000,000","2,804.97",0.048,126,433,0.02,0.314,0.11,73,68,0.905,"10,512,000,000","13,633,000,000","2,696,000,000"
Ukraine,Europe,0.011,0.555,"304,805",0.006644874,27,"132,308","136,000,000,000","2,964.86",0.078,231,657,0.01,0.233,0.159,76,65,1.171,"10,608,000,000","4,696,000,000","4,134,000,000"
Thailand,Asia,0.011,0.369,"295,282",0.004446863,32,"117,429","319,000,000,000","4,804.05",0.038,183,264,0.013,0.224,0.059,77,71,1.08,"12,122,000,000","23,809,000,000","7,151,000,000"
New Zealand,Oceania,0.015,0.347,"31,551",0.007223545,1,"18,287","143,000,000,000","32,739.59",0.102,"3,260",172,0.005,0.805,0.063,83,79,1.078,"14,586,000,000","4,904,000,000","3,037,000,000"
Czech Republic,Europe,0.011,0.48,"111,752",0.01066905,20,"44,043","198,000,000,000","18,903.21",0.074,"1,404",557,0.003,0.688,0.059,81,74,1.226,"14,652,000,000","8,017,000,000","4,166,000,000"
Chile,The Americas,0.014,0.245,"72,258",0.004213108,22,"30,920","218,000,000,000","12,710.81",0.071,894,316,0.008,0.45,0.048,82,76,1.158,"15,478,000,000","2,422,000,000","1,808,000,000"
Israel,Middle East,0.022,0.311,"70,656",0.009268062,20,"23,195","232,000,000,000","30,431.82",0.076,"2,165",235,0.004,0.675,0.05,84,80,1.228,"17,632,000,000","5,824,000,000","4,725,000,000"
Venezuela,The Americas,0.021,0.519,"201,747",0.006946425,141,"75,502","394,000,000,000","13,565.96",0.047,639,864,0.014,0.374,0.183,77,71,0.96,"18,518,000,000","794,000,000","2,238,000,000"
Ireland,Europe,0.017,0.253,"40,000",0.008771632,13,"14,219","209,000,000,000","45,831.78",0.093,"4,320",76,0.004,0.699,,83,79,1.052,"19,437,000,000","8,187,000,000","7,178,000,000"
Colombia,The Americas,0.02,0.803,"75,680",0.001629461,14,"32,235","287,000,000,000","6,179.38",0.068,418,208,0.016,0.365,0.094,77,70,0.958,"19,516,000,000","2,727,000,000","2,373,000,000"
Indonesia,Asia,0.02,0.322,"433,989",0.001803205,50,"211,296","709,000,000,000","2,945.86",0.029,86,266,0.027,0.109,0.133,72,68,0.878,"20,561,000,000","7,618,000,000","8,432,000,000"
Nigeria,Africa,0.042,0.322,"78,910",0.00049409,25,"115,138","369,000,000,000","2,310.47",0.056,80,938,0.082,0.24,0.176,52,51,0.547,"20,664,000,000","738,000,000","8,379,000,000"
Saudi Arabia,Middle East,0.021,0.145,"464,481",0.01703993,21,"192,004","527,000,000,000","19,333.50",0.04,663,79,0.015,0.41,,77,73,1.892,"21,080,000,000","7,536,000,000","22,076,000,000"
Finland,Europe,0.011,0.408,"61,844",0.011530849,14,"36,429","237,000,000,000","44,188.78",0.09,"3,978",243,0.003,0.869,,83,77,1.563,"21,330,000,000","4,510,000,000","5,267,000,000"
Portugal,Europe,0.01,0.426,"52,361",0.004952285,5,"23,541","229,000,000,000","21,658.74",0.108,"2,324",298,0.003,0.533,,82,76,1.153,"24,732,000,000","12,969,000,000","4,691,000,000"
Greece,Europe,0.01,0.467,"86,717",0.007774901,19,"27,615","294,000,000,000","26,359.55",0.094,"2,442",224,0.004,0.444,,83,78,1.106,"27,636,000,000","12,579,000,000","2,874,000,000"
Iran,Middle East,0.019,0.441,"571,612",0.007676527,11,"210,678","423,000,000,000","5,680.73",0.073,416,344,0.016,0.147,0.12,75,71,0.726,"30,879,000,000","2,631,000,000","10,570,000,000"
South Africa,Africa,0.022,0.3,"460,124",0.009040528,22,"142,291","365,000,000,000","7,171.53",0.087,615,200,0.035,0.24,0.098,56,53,0.979,"31,755,000,000","10,308,000,000","8,139,000,000"
Poland,Europe,0.011,0.401,"317,254",0.008308628,32,"101,539","470,000,000,000","12,308.92",0.07,860,325,0.005,0.623,,81,72,1.229,"32,900,000,000","9,986,000,000","9,100,000,000"
Denmark,Europe,0.011,0.281,"46,303",0.008346367,6,"19,307","313,000,000,000","56,419.95",0.111,"6,266",135,0.003,0.887,,81,77,1.157,"34,743,000,000","5,704,000,000","9,082,000,000"
Argentina,The Americas,0.017,1.076,"180,512",0.004470971,25,"78,162","463,000,000,000","11,467.71",0.082,751,453,0.013,0.45,0.106,79,72,1.414,"37,966,000,000","5,629,000,000","6,375,000,000"
Norway,Europe,0.013,0.407,"57,187",0.011696472,7,"32,338","421,000,000,000","86,107.24",0.1,"8,694",87,0.003,0.934,,83,79,1.145,"42,100,000,000","5,299,000,000","14,658,000,000"
Austria,Europe,0.009,0.532,"66,897",0.007973638,25,"34,228","378,000,000,000","45,054.87",0.116,"5,272",170,0.004,0.752,,83,78,1.457,"43,848,000,000","20,980,000,000","12,213,000,000"
Sweden,Europe,0.012,0.52,"52,515",0.005599733,16,"51,315","463,000,000,000","49,370.20",0.095,"4,694",122,0.003,0.9,,84,80,1.172,"43,985,000,000","10,991,000,000","14,912,000,000"
Belgium,Europe,0.012,0.567,"108,947",0.009976583,4,"60,892","471,000,000,000","43,130.79",0.105,"4,570",156,0.004,0.75,,83,78,1.111,"49,455,000,000","11,624,000,000","20,876,000,000"
Turkey,Europe,0.018,0.433,"298,002",0.004131025,6,"105,133","731,000,000,000","10,133.42",0.068,680,226,0.02,0.398,,78,71,0.856,"49,708,000,000","26,318,000,000","5,817,000,000"
Switzerland,Europe,0.01,0.288,"38,757",0.004953029,18,"26,199","549,000,000,000","70,160.56",0.109,"7,697",63,0.004,0.839,0.027,85,80,1.232,"59,841,000,000","17,614,000,000","13,528,000,000"
India,Asia,0.021,0.649,"2,008,823",0.001666209,29,"723,743","1,710,000,000,000","1,418.35",0.037,52,258,0.046,0.075,0.083,67,64,0.624,"63,270,000,000","14,490,000,000","10,490,000,000"
Mexico,The Americas,0.02,0.505,"443,674",0.003763572,7,"178,924","1,050,000,000,000","8,906.88",0.063,603,404,0.014,0.311,0.053,79,74,0.775,"66,150,000,000","12,628,000,000","9,001,000,000"
South Korea,Asia,0.009,0.288,"567,567",0.0114868,14,"249,964","1,090,000,000,000","22,060.15",0.073,"1,498",250,0.004,0.837,0.055,84,77,1.048,"79,570,000,000","14,398,000,000","20,802,000,000"
Netherlands,Europe,0.011,0.394,"182,078",0.010958392,8,"83,426","777,000,000,000","46,763.86",0.121,"5,676",134,0.004,0.907,0.018,83,79,1.154,"94,017,000,000","18,690,000,000","19,772,000,000"
Russia,Europe,0.013,0.465,"1,740,776",0.012225793,29,"702,292","1,520,000,000,000","10,675.24",0.063,669,320,0.01,0.43,0.108,75,63,1.655,"95,760,000,000","13,239,000,000","30,169,000,000"
Australia,Oceania,0.014,0.475,"373,081",0.01693375,3,"122,512","1,140,000,000,000","51,743.39",0.089,"5,138",109,0.004,0.76,0.073,84,80,1.004,"101,460,000,000","32,336,000,000","27,534,000,000"
Spain,Europe,0.01,0.568,"269,675",0.005789888,47,"127,749","1,380,000,000,000","29,628.42",0.096,"2,902",197,0.004,0.658,,85,79,1.113,"132,480,000,000","59,042,000,000","22,733,000,000"
Canada,The Americas,0.011,0.277,"499,137",0.014678223,5,"250,992","1,610,000,000,000","47,345.60",0.114,"5,273",131,0.005,0.803,0.026,83,79,0.757,"183,540,000,000","18,438,000,000","36,975,000,000"
Brazil,The Americas,0.016,0.663,"419,754",0.002150267,119,"265,887","2,140,000,000,000","10,962.54",0.09,989,"2,600",0.015,0.407,0.4,77,70,1.009,"192,600,000,000","6,180,000,000","19,340,000,000"
Italy,Europe,0.009,0.677,"406,307",0.00685433,6,"170,239","2,060,000,000,000","34,751.85",0.094,"3,205",285,0.003,0.537,0.04,85,80,1.548,"193,640,000,000","40,058,000,000","33,053,000,000"
United Kingdom,Europe,0.013,0.361,"493,505",0.007862571,12,"201,829","2,300,000,000,000","36,643.83",0.096,"3,489",110,0.004,0.85,0.005,82,79,1.236,"220,800,000,000","40,746,000,000","61,368,000,000"
China,Asia,0.012,0.635,"8,286,892",0.006194858,38,"2,516,731","5,930,000,000,000","4,432.97",0.05,216,358,0.014,0.343,0.058,76,74,0.632,"296,500,000,000","50,154,000,000","59,840,000,000"
France,Europe,0.013,0.648,"361,273",0.005556068,7,"261,157","2,570,000,000,000","39,524.39",0.117,"4,634",132,0.004,0.773,,85,78,0.914,"300,690,000,000","56,139,000,000","46,157,000,000"
Germany,Europe,0.008,0.47,"745,384",0.009114844,15,"329,769","3,300,000,000,000","40,353.68",0.115,"4,668",215,0.004,0.82,,83,78,1.065,"379,500,000,000","49,108,000,000","91,166,000,000"
Japan,Asia,0.009,0.476,"1,170,715",0.009185648,22,"499,092","5,500,000,000,000","43,154.02",0.096,"4,115",355,0.002,0.782,0.016,86,80,0.968,"528,000,000,000","15,356,000,000","39,306,000,000"
United States,The Americas,0.013,0.465,"5,433,057",0.017564161,5,"2,215,504","15,000,000,000,000","48,492.48",0.177,"8,254",187,0.006,0.717,0.033,81,76,0.913,"2,655,000,000,000","165,000,000,000",
